caldt,vwretd
20061204,0.009028
20061205,0.004001
20061206,-0.001066
20061207,-0.003949
20061208,0.001852
20061211,0.002279
20061212,-0.001099
20061213,0.001398
20061214,0.008789
20061215,0.001108
20061218,-0.003343
20061219,0.002108
20061220,-0.001367
20061221,-0.00345
20061222,-0.005152
20061226,0.004358
20061227,0.007192
20061228,-0.001447
20061229,-0.004455
20070103,-0.000577
20070104,0.001357
20070105,-0.006051
20070108,0.00253
20070109,-0.000404
20070110,0.002035
20070111,0.006488
20070112,0.004768
20070116,0.000844
20070117,-0.00084
20070118,-0.0031
20070119,0.002931
20070122,-0.005257
20070123,0.003411
20070124,0.008288
20070125,-0.011138
20070126,-0.001127
20070129,-0.001034
20070130,0.005623
20070131,0.006725
20070201,0.00559
20070202,0.001626
20070205,-0.000778
20070206,0.000741
20070207,0.00191
20070208,-0.001129
20070209,-0.006907
20070212,-0.00329
20070213,0.007652
20070214,0.007807
20070215,0.001293
20070216,-0.000872
20070220,0.003187
20070221,-0.001323
20070222,-0.000604
20070223,-0.003528
20070226,-0.001129
20070227,-0.034475
20070228,0.005437
20070301,-0.002442
20070302,-0.011395
20070305,-0.00937
20070306,0.015522
20070307,-0.002255
20070308,0.007116
20070309,0.000661
20070312,0.002718
20070313,-0.020176
20070314,0.006685
20070315,0.003798
20070316,-0.003769
20070319,0.010897
20070320,0.006341
20070321,0.017155
20070322,-0.00029
20070323,0.001041
20070326,0.000892
20070327,-0.006174
20070328,-0.007799
20070329,0.003752
20070330,-0.001099
20070402,0.002639
20070403,0.009587
20070404,0.001121
20070405,0.003263
20070409,0.000651
20070410,0.002509
20070411,-0.006685
20070412,0.006138
20070413,0.003388
20070416,0.010952
20070417,0.002095
20070418,0.000641
20070419,-0.001269
20070420,0.009389
20070423,-0.002344
20070424,-0.000429
20070425,0.010189
20070426,-0.000516
20070427,-0.000023
20070430,-0.007824
20070501,0.002661
20070502,0.006539
20070503,0.004588
20070504,0.002098
20070507,0.002618
20070508,-0.001141
20070509,0.003426
20070510,-0.013742
20070511,0.009679
20070514,-0.001727
20070515,-0.001277
20070516,0.008796
20070517,-0.000852
20070518,0.006584
20070521,0.001499
20070522,-0.000637
20070523,-0.001249
20070524,-0.009527
20070525,0.005485
20070529,0.001739
20070530,0.008322
20070531,0.000319
20070601,0.003901
20070604,0.002141
20070605,-0.005428
20070606,-0.00857
20070607,-0.017533
20070608,0.011377
20070611,0.000884
20070612,-0.010667
20070613,0.015381
20070614,0.004733
20070615,0.006465
20070618,-0.001189
20070619,0.001676
20070620,-0.013529
20070621,0.006269
20070622,-0.012753
20070625,-0.003234
20070626,-0.003169
20070627,0.009234
20070628,-0.000428
20070629,-0.001595
20070702,0.010805
20070703,0.003779
20070705,0.000328
20070706,0.003692
20070709,0.000934
20070710,-0.014274
20070711,0.005831
20070712,0.019038
20070713,0.003147
20070716,-0.001885
20070717,-0.000127
20070718,-0.002093
20070719,0.004634
20070720,-0.012251
20070723,0.004818
20070724,-0.019536
20070725,0.00455
20070726,-0.02332
20070727,-0.015898
20070730,0.010073
20070731,-0.01255
20070801,0.007327
20070802,0.004754
20070803,-0.026443
20070806,0.024103
20070807,0.006062
20070808,0.014568
20070809,-0.02912
20070810,0.000021
20070813,-0.000312
20070814,-0.018283
20070815,-0.013526
20070816,0.003333
20070817,0.024407
20070820,-0.000256
20070821,0.001143
20070822,0.011766
20070823,-0.001224
20070824,0.011754
20070827,-0.008456
20070828,-0.023364
20070829,0.022202
20070830,-0.004172
20070831,0.011202
20070904,0.010442
20070905,-0.011058
20070906,0.004383
20070907,-0.016839
20070910,-0.001326
20070911,0.013677
20070912,0.000287
20070913,0.008458
20070914,0.00033
20070917,-0.00517
20070918,0.029183
20070919,0.006239
20070920,-0.006496
20070921,0.004667
20070924,-0.005192
20070925,-0.000401
20070926,0.005509
20070927,0.003961
20070928,-0.002973
20071001,0.013262
20071002,-0.000092
20071003,-0.004282
20071004,0.002152
20071005,0.009831
20071008,-0.003063
20071009,0.008081
20071010,-0.001535
20071011,-0.005056
20071012,0.00472
20071015,-0.008457
20071016,-0.006575
20071017,0.001908
20071018,-0.000697
20071019,-0.025575
20071022,0.003966
20071023,0.008701
20071024,-0.002508
20071025,-0.000745
20071026,0.013963
20071029,0.003907
20071030,-0.006263
20071031,0.012035
20071101,-0.026067
20071102,0.000885
20071105,-0.004961
20071106,0.012028
20071107,-0.02859
20071108,-0.000801
20071109,-0.014324
20071112,-0.009818
20071113,0.029553
20071114,-0.006758
20071115,-0.012981
20071116,0.00521
20071119,-0.017348
20071120,0.004561
20071121,-0.015786
20071123,0.016904
20071126,-0.022838
20071127,0.014914
20071128,0.02887
20071129,0.000462
20071130,0.007716
20071203,-0.00586
20071204,-0.00632
20071205,0.016044
20071206,0.015098
20071207,-0.001805
20071210,0.007546
20071211,-0.02522
20071212,0.006185
20071213,0.001342
20071214,-0.013665
20071217,-0.014939
20071218,0.006297
20071219,-0.001249
20071220,0.005176
20071221,0.01681
20071224,0.00813
20071226,0.000697
20071227,-0.013924
20071228,0.001503
20071231,-0.006912
20080102,-0.014099
20080103,0.000027
20080104,-0.024439
20080107,0.003275
20080108,-0.017669
20080109,0.013312
20080110,0.007981
20080111,-0.013675
20080114,0.010702
20080115,-0.02485
20080116,-0.005304
20080117,-0.028546
20080118,-0.006024
20080122,-0.010832
20080123,0.021218
20080124,0.009964
20080125,-0.01585
20080128,0.017468
20080129,0.006034
20080130,-0.00493
20080131,0.015593
20080201,0.013631
20080204,-0.010488
20080205,-0.031707
20080206,-0.007301
20080207,0.008203
20080208,-0.00422
20080211,0.006018
20080212,0.007297
20080213,0.013864
20080214,-0.013525
20080215,0.000771
20080219,-0.000977
20080220,0.008414
20080221,-0.012439
20080222,0.007868
20080225,0.013771
20080226,0.007123
20080227,-0.000774
20080228,-0.008874
20080229,-0.026968
20080303,0.000476
20080304,-0.003316
20080305,0.00559
20080306,-0.021705
20080307,-0.008193
20080310,-0.015371
20080311,0.037144
20080312,-0.008508
20080313,0.005206
20080314,-0.020563
20080317,-0.009002
20080318,0.04222
20080319,-0.02394
20080320,0.024392
20080324,0.015094
20080325,0.002309
20080326,-0.008733
20080327,-0.011302
20080328,-0.007949
20080331,0.005616
20080401,0.035877
20080402,-0.001677
20080403,0.001268
20080404,0.000764
20080407,0.001513
20080408,-0.004714
20080409,-0.007899
20080410,0.004569
20080411,-0.020155
20080414,-0.0032
20080415,0.004797
20080416,0.022642
20080417,0.000673
20080418,0.017938
20080421,-0.001447
20080422,-0.008698
20080423,0.003079
20080424,0.00642
20080425,0.006095
20080428,-0.001157
20080429,-0.003706
20080430,-0.00407
20080501,0.017263
20080502,0.003031
20080505,-0.004496
20080506,0.007543
20080507,-0.01748
20080508,0.003668
20080509,-0.006376
20080512,0.011258
20080513,-0.000317
20080514,0.004261
20080515,0.010659
20080516,0.001171
20080519,0.000893
20080520,-0.009345
20080521,-0.016013
20080522,0.002939
20080523,-0.01303
20080527,0.006962
20080528,0.004128
20080529,0.00549
20080530,0.001512
20080602,-0.010524
20080603,-0.005598
20080604,0.000215
20080605,0.019662
20080606,-0.030672
20080609,0.000949
20080610,-0.002208
20080611,-0.016778
20080612,0.003623
20080613,0.015005
20080616,0.000123
20080617,-0.006806
20080618,-0.009685
20080619,0.004087
20080620,-0.018584
20080623,0.000079
20080624,-0.002672
20080625,0.006073
20080626,-0.028951
20080627,-0.003753
20080630,0.001144
20080701,0.004101
20080702,-0.017984
20080703,0.001077
20080707,-0.008086
20080708,0.017627
20080709,-0.022647
20080710,0.007101
20080711,-0.010974
20080714,-0.008822
20080715,-0.010513
20080716,0.025029
20080717,0.011775
20080718,-0.000109
20080721,-0.000674
20080722,0.013621
20080723,0.003976
20080724,-0.022907
20080725,0.004266
20080728,-0.018438
20080729,0.023453
20080730,0.016526
20080731,-0.012836
20080801,-0.005623
20080804,-0.008737
20080805,0.028818
20080806,0.00406
20080807,-0.018041
20080808,0.023915
20080811,0.007276
20080812,-0.011639
20080813,-0.00278
20080814,0.005535
20080815,0.004286
20080818,-0.014872
20080819,-0.009214
20080820,0.006187
20080821,0.00249
20080822,0.011538
20080825,-0.019459
20080826,0.003619
20080827,0.008053
20080828,0.014869
20080829,-0.01372
20080902,-0.003892
20080903,-0.001604
20080904,-0.02962
20080905,0.004572
20080908,0.020415
20080909,-0.03359
20080910,0.00603
20080911,0.014305
20080912,0.001924
20080915,-0.046417
20080916,0.017108
20080917,-0.047027
20080918,0.042867
20080919,0.040156
20080922,-0.037926
20080923,-0.015318
20080924,-0.001766
20080925,0.019586
20080926,0.003484
20080929,-0.087087
20080930,0.053987
20081001,-0.004515
20081002,-0.039695
20081003,-0.013308
20081006,-0.037787
20081007,-0.058158
20081008,-0.010852
20081009,-0.075733
20081010,-0.011172
20081013,0.115127
20081014,-0.006054
20081015,-0.089963
20081016,0.043348
20081017,-0.006221
20081020,0.047038
20081021,-0.030628
20081022,-0.059075
20081023,0.010966
20081024,-0.034157
20081027,-0.031776
20081028,0.107239
20081029,-0.011465
20081030,0.027036
20081031,0.015319
20081103,-0.002754
20081104,0.04026
20081105,-0.051925
20081106,-0.04946
20081107,0.02901
20081110,-0.012278
20081111,-0.021958
20081112,-0.051133
20081113,0.068893
20081114,-0.041756
20081117,-0.025816
20081118,0.010165
20081119,-0.060607
20081120,-0.065964
20081121,0.063255
20081124,0.063418
20081125,0.006564
20081126,0.035613
20081128,0.009108
20081201,-0.088632
20081202,0.039422
20081203,0.026509
20081204,-0.028669
20081205,0.037059
20081208,0.03799
20081209,-0.023012
20081210,0.011769
20081211,-0.028211
20081212,0.007111
20081215,-0.012718
20081216,0.051028
20081217,-0.009393
20081218,-0.020681
20081219,0.003007
20081222,-0.017852
20081223,-0.009519
20081224,0.006202
20081226,0.005216
20081229,-0.003815
20081230,0.024393
20081231,0.014115
20090102,0.031761
20090105,-0.004493
20090106,0.007642
20090107,-0.029235
20090108,0.00276
20090109,-0.020864
20090112,-0.02205
20090113,0.002152
20090114,-0.033077
20090115,0.002097
20090116,0.00814
20090120,-0.051601
20090121,0.042182
20090122,-0.015117
20090123,0.005073
20090126,0.005666
20090127,0.010776
20090128,0.032702
20090129,-0.032374
20090130,-0.022681
20090202,-0.000561
20090203,0.016112
20090204,-0.006878
20090205,0.016832
20090206,0.027222
20090209,0.001328
20090210,-0.048566
20090211,0.008565
20090212,0.002087
20090213,-0.010061
20090217,-0.044385
20090218,-0.000198
20090219,-0.011212
20090220,-0.010918
20090223,-0.034619
20090224,0.039571
20090225,-0.010665
20090226,-0.015827
20090227,-0.022813
20090302,-0.046123
20090303,-0.006363
20090304,0.023934
20090305,-0.041599
20090306,0.001256
20090309,-0.009898
20090310,0.062793
20090311,0.002968
20090312,0.040657
20090313,0.007563
20090316,-0.003904
20090317,0.032028
20090318,0.020635
20090319,-0.012424
20090320,-0.019346
20090323,0.07033
20090324,-0.01854
20090325,0.007886
20090326,0.023394
20090327,-0.019026
20090330,-0.035222
20090331,0.013143
20090401,0.016712
20090402,0.02854
20090403,0.009786
20090406,-0.008214
20090407,-0.023262
20090408,0.011775
20090409,0.037105
20090413,0.002745
20090414,-0.01982
20090415,0.012109
20090416,0.015556
20090417,0.004765
20090420,-0.042135
20090421,0.020999
20090422,-0.007495
20090423,0.010041
20090424,0.01658
20090427,-0.00989
20090428,-0.002899
20090429,0.021661
20090430,-0.000906
20090501,0.004942
20090504,0.033089
20090505,-0.003355
20090506,0.017047
20090507,-0.0132
20090508,0.023641
20090511,-0.020491
20090512,-0.000724
20090513,-0.026245
20090514,0.010117
20090515,-0.011213
20090518,0.030394
20090519,-0.001501
20090520,-0.004993
20090521,-0.016312
20090522,-0.001219
20090526,0.026212
20090527,-0.018747
20090528,0.015331
20090529,0.013552
20090601,0.025957
20090602,0.001894
20090603,-0.013036
20090604,0.011331
20090605,-0.002297
20090608,-0.000884
20090609,0.003606
20090610,-0.003454
20090611,0.005926
20090612,0.001513
20090615,-0.023675
20090616,-0.012556
20090617,-0.001058
20090618,0.00839
20090619,0.003152
20090622,-0.02976
20090623,0.002036
20090624,0.006794
20090625,0.021368
20090626,-0.001577
20090629,0.00895
20090630,-0.008363
20090701,0.004366
20090702,-0.028858
20090706,0.002443
20090707,-0.019517
20090708,-0.000834
20090709,0.003317
20090710,-0.003998
20090713,0.024737
20090714,0.005312
20090715,0.029511
20090716,0.008572
20090717,-0.000442
20090720,0.011472
20090721,0.003635
20090722,-0.000309
20090723,0.022959
20090724,0.002756
20090727,0.002702
20090728,-0.002441
20090729,-0.00424
20090730,0.011931
20090731,0.000604
20090803,0.015225
20090804,0.002985
20090805,-0.002719
20090806,-0.005613
20090807,0.01328
20090810,-0.003309
20090811,-0.011987
20090812,0.011803
20090813,0.00703
20090814,-0.008446
20090817,-0.023926
20090818,0.010189
20090819,0.007065
20090820,0.010561
20090821,0.018416
20090824,-0.000584
20090825,0.002394
20090826,0.00028
20090827,0.002492
20090828,-0.001992
20090831,-0.00787
20090901,-0.021736
20090902,-0.003066
20090903,0.008762
20090904,0.012967
20090908,0.008914
20090909,0.007756
20090910,0.010279
20090911,-0.001158
20090914,0.006246
20090915,0.003034
20090916,0.015143
20090917,-0.002848
20090918,0.002625
20090921,-0.003232
20090922,0.006618
20090923,-0.010065
20090924,-0.009153
20090925,-0.006288
20090928,0.017755
20090929,-0.002221
20090930,-0.003397
20091001,-0.025416
20091002,-0.004416
20091005,0.014663
20091006,0.01369
20091007,0.003153
20091008,0.007513
20091009,0.005545
20091012,0.004357
20091013,-0.002409
20091014,0.01743
20091015,0.00397
20091016,-0.007959
20091019,0.009393
20091020,-0.006263
20091021,-0.008705
20091022,0.010585
20091023,-0.011542
20091026,-0.011538
20091027,-0.003531
20091028,-0.019478
20091029,0.02241
20091030,-0.027946
20091102,0.006402
20091103,0.002456
20091104,0.00133
20091105,0.019499
20091106,0.002607
20091109,0.022363
20091110,0.000229
20091111,0.005054
20091112,-0.009921
20091113,0.005801
20091116,0.014478
20091117,0.001241
20091118,-0.000216
20091119,-0.013166
20091120,-0.003328
20091123,0.013635
20091124,-0.000588
20091125,0.004628
20091127,-0.01698
20091130,0.003926
20091201,0.012002
20091202,0.000517
20091203,-0.008319
20091204,0.005461
20091207,-0.002519
20091208,-0.010203
20091209,0.00366
20091210,0.006023
20091211,0.003802
20091214,0.006696
20091215,-0.005645
20091216,0.000944
20091217,-0.011886
20091218,0.006278
20091221,0.010349
20091222,0.003565
20091223,0.002687
20091224,0.005245
20091228,0.001421
20091229,-0.001191
20091230,0.000206
20091231,-0.010167
20100104,0.01597
20100105,0.003066
20100106,0.000907
20100107,0.003898
20100108,0.002791
20100111,0.001724
20100112,-0.009159
20100113,0.008434
20100114,0.002369
20100115,-0.010708
20100119,0.012443
20100120,-0.010489
20100121,-0.018772
20100122,-0.021872
20100125,0.004539
20100126,-0.004003
20100127,0.004791
20100128,-0.011755
20100129,-0.009675
20100201,0.014002
20100202,0.012781
20100203,-0.004936
20100204,-0.031009
20100205,0.003003
20100208,-0.008497
20100209,0.012927
20100210,-0.002047
20100211,0.009736
20100212,-0.00256
20100216,0.018243
20100217,0.004566
20100218,0.006558
20100219,0.001968
20100222,-0.000985
20100223,-0.012151
20100224,0.009932
20100225,-0.00173
20100226,0.001369
20100301,0.01
20100302,0.002319
20100303,0.00038
20100304,0.003904
20100305,0.013974
20100308,0.000172
20100309,0.001957
20100310,0.004814
20100311,0.004561
20100312,-0.000331
20100315,0.000615
20100316,0.007975
20100317,0.005798
20100318,-0.000353
20100319,-0.005293
20100322,0.005316
20100323,0.007374
20100324,-0.005486
20100325,-0.001421
20100326,0.000754
20100329,0.005648
20100330,0.000168
20100331,-0.003288
20100401,0.007296
20100405,0.008011
20100406,0.001777
20100407,-0.005261
20100408,0.003588
20100409,0.006599
20100412,0.001863
20100413,0.00075
20100414,0.011313
20100415,0.000692
20100416,-0.016104
20100419,0.004724
20100420,0.008118
20100421,-0.000908
20100422,0.002395
20100423,0.006917
20100426,-0.004461
20100427,-0.023287
20100428,0.006418
20100429,0.013004
20100430,-0.016708
20100503,0.012927
20100504,-0.023775
20100505,-0.0061
20100506,-0.032201
20100507,-0.015477
20100510,0.043619
20100511,-0.003092
20100512,0.0141
20100513,-0.012071
20100514,-0.018849
20100517,0.001267
20100518,-0.013955
20100519,-0.005121
20100520,-0.038569
20100521,0.014701
20100524,-0.012638
20100525,0.000262
20100526,-0.005595
20100527,0.033149
20100528,-0.012146
20100601,-0.017027
20100602,0.025802
20100603,0.004262
20100604,-0.034767
20100607,-0.013255
20100608,0.010932
20100609,-0.0057
20100610,0.029205
20100611,0.004718
20100614,-0.001693
20100615,0.023316
20100616,-0.000659
20100617,0.001307
20100618,0.00128
20100621,-0.003953
20100622,-0.015842
20100623,-0.002993
20100624,-0.0169
20100625,0.002986
20100628,-0.002106
20100629,-0.031193
20100630,-0.010029
20100701,-0.002911
20100702,-0.004509
20100706,0.005406
20100707,0.031502
20100708,0.009588
20100709,0.007205
20100712,0.000925
20100713,0.015524
20100714,-0.00011
20100715,0.001109
20100716,-0.028703
20100719,0.005974
20100720,0.011599
20100721,-0.012708
20100722,0.022421
20100723,0.008242
20100726,0.011116
20100727,-0.001083
20100728,-0.006875
20100729,-0.004041
20100730,0.000056
20100802,0.021847
20100803,-0.004813
20100804,0.006417
20100805,-0.001333
20100806,-0.003445
20100809,0.005515
20100810,-0.00597
20100811,-0.027435
20100812,-0.005483
20100813,-0.003902
20100816,0.000196
20100817,0.012525
20100818,0.001444
20100819,-0.016935
20100820,-0.003539
20100823,-0.003789
20100824,-0.014424
20100825,0.003523
20100826,-0.007759
20100827,0.01656
20100830,-0.014556
20100831,-0.000053
20100901,0.029898
20100902,0.009295
20100903,0.013217
20100907,-0.011149
20100908,0.006537
20100909,0.004791
20100910,0.004883
20100913,0.011574
20100914,-0.000482
20100915,0.003594
20100916,-0.000121
20100917,0.001005
20100920,0.015202
20100921,-0.002731
20100922,-0.004449
20100923,-0.008259
20100924,0.020923
20100927,-0.005518
20100928,0.005024
20100929,-0.002404
20100930,-0.003101
20101001,0.00445
20101004,-0.007918
20101005,0.020519
20101006,0.000064
20101007,-0.001618
20101008,0.006124
20101011,0.000207
20101012,0.003756
20101013,0.007271
20101014,-0.003865
20101015,0.002134
20101018,0.007369
20101019,-0.015835
20101020,0.010449
20101021,0.002
20101022,0.002272
20101025,0.00228
20101026,0.000284
20101027,-0.002547
20101028,0.001309
20101029,-0.000142
20101101,0.000741
20101102,0.007736
20101103,0.003861
20101104,0.019329
20101105,0.003985
